epoch,lr,train_loss,val_loss,train_acc,train_f1,val_acc,val_precision,val_recall,val_f1,epoch_time
1,0.001,0.25030173412451134,0.2373405070332167,0.9278862195528862,0.9070552849656088,0.9343093093093093,0.9556344044499653,0.9549983295055504,0.9462164566107106,28.79211401939392
2,0.001,0.044987769307078304,0.041943426994367726,0.9880714047380714,0.9854417114677673,0.9857357357357357,0.9870389819579576,0.9877745261443391,0.9870647946693324,30.205953359603882
3,0.001,0.025374820089688003,0.059828802551682644,0.9930347013680347,0.9907382508926366,0.9831081081081081,0.9738974715374532,0.9863240785762639,0.9769629203375981,29.115822792053223
4,0.001,0.026370078682325205,0.030617810038597305,0.9928261594928262,0.9926651690915649,0.9906156156156156,0.9920335143393131,0.9870180138964156,0.9893138174613897,28.92279362678528
5,0.001,0.022687643802372696,0.03697479821115106,0.994285952619286,0.992527926274956,0.9894894894894894,0.9896996529231287,0.9873972771826557,0.988186349997452,29.711527585983276
6,0.001,0.016670487490540117,0.05981254225314312,0.9956206206206206,0.9956633733837431,0.984984984984985,0.9866598111962663,0.9848844899716993,0.9850794140180721,29.83396053314209
7,0.001,0.014981405943193422,0.036864983199067086,0.9961628294961629,0.9954341838301715,0.990990990990991,0.9960258063036186,0.9889252715415506,0.9919915755419784,29.4144287109375
8,0.001,0.015523522751084052,0.20378157845243822,0.995704037370704,0.9945314644460922,0.9786036036036037,0.9513648762576424,0.961622420056776,0.952228746134281,29.230993032455444
9,0.001,0.026267292420570153,0.0239205529081968,0.9937437437437437,0.9900118453477869,0.9951201201201201,0.9953657727422457,0.9949920019687462,0.9950989479280017,30.686616897583008
10,0.001,0.013107735734727139,0.013536191634945158,0.9968301634968302,0.9963565838426953,0.9966216216216216,0.9970214927951799,0.9952008316833898,0.9959837612953083,29.276150226593018
11,0.001,0.004187659068497828,0.017361232082799286,0.9987904571237904,0.9989591626636849,0.9943693693693694,0.9947906183630656,0.9957345412637639,0.9951929747125288,29.127139568328857
12,0.001,0.014345806332040623,0.05186459721312872,0.9962879546212879,0.9956098645816163,0.9906156156156156,0.9934165298572245,0.9860203222703223,0.9892675615104608,29.632832288742065
13,0.0005,0.01668537597450551,0.03310821495340877,0.9955372038705372,0.9934475635977948,0.9917417417417418,0.9944444412708905,0.9876285697506627,0.990694912067072,29.46844482421875
14,0.0005,0.005709902544337001,0.0071334163163970935,0.9984150817484151,0.9974965752106216,0.9981231231231231,0.997905645673463,0.9974002902781973,0.997591247336458,29.40005850791931
15,0.0005,0.0011007266790353267,0.004680480556551181,0.9996663329996663,0.9997461517742147,0.9988738738738738,0.998882350290421,0.9985538524782712,0.9987008824224618,29.116525650024414
16,0.0005,0.001414490023432764,0.007389929042509428,0.999582916249583,0.9997663139329805,0.9973723723723724,0.9985869655638697,0.9977224067921742,0.9981386296857827,30.487263917922974
17,0.0005,0.00014833479049437812,0.00603910652618007,1.0,1.0,0.9973723723723724,0.9984840288015001,0.9969157941541662,0.9976494193361478,29.02933120727539
18,0.00025,0.00013884938785163508,0.003215579770554328,0.9999582916249583,0.9999827734687825,0.9984984984984985,0.9990598562911652,0.9983914728682171,0.9987089286646333,29.54752540588379
19,0.00025,6.228304518729607e-05,0.0035113490004306668,1.0,1.0,0.9984984984984985,0.9989936093984599,0.9983116044162555,0.9986351419220133,29.982137203216553
20,0.00025,4.786451882228266e-05,0.0028767608946017806,1.0,1.0,0.9984984984984985,0.9991164903051765,0.9983042635658915,0.9986935253504801,29.96337914466858
