epoch,lr,train_loss,val_loss,train_acc,train_f1,val_acc,val_precision,val_recall,val_f1,epoch_time
1,0.001,0.434703964761169,0.2130376978052987,0.8678678678678678,0.8371290111019721,0.9313063063063063,0.950789816536778,0.9298145269799245,0.9332174189727805,41.374817848205566
2,0.001,0.09632012070537926,0.10186834173107816,0.9697614280947614,0.9623079586176907,0.9688438438438438,0.9763160096153071,0.9540460379261303,0.955974840687585,41.745296001434326
3,0.001,0.06307326628390574,0.02239843071039833,0.9807724391057724,0.9776251860374545,0.9928678678678678,0.995381499926415,0.9887284668389319,0.9913912725938893,41.190428256988525
4,0.001,0.060345211461581685,0.07629140032531449,0.9830663997330664,0.976936658182256,0.9816066066066066,0.977637806666266,0.9819881259997538,0.9786042560577202,41.33334803581238
5,0.001,0.05183900827973892,0.021429186350387708,0.9847764431097764,0.9799020306868963,0.9924924924924925,0.9935387952095982,0.9877961648601185,0.9902269538816033,41.05801820755005
6,0.0005,0.04645039811282903,0.09537075141108492,0.9858191524858192,0.9823706790253932,0.9763513513513513,0.9786609030372841,0.9724736586579357,0.9721448490475636,41.3449432849884
7,0.0005,0.017537221790303488,0.005439255609501827,0.9952452452452453,0.9951468704360796,0.9984984984984985,0.9993042529886565,0.9992912513842745,0.9992912787994023,41.783169984817505
8,0.0005,0.008023629608076937,0.0011363709214498165,0.9977060393727061,0.9982634690707055,0.9996246246246246,0.9997602493406856,0.9998154300479882,0.9997868509094121,41.10442399978638
9,0.0005,0.007962143622679977,0.004598268582160219,0.9972889556222889,0.9975981814354826,0.9984984984984985,0.9992216936491312,0.9992458779377383,0.9992299858395753,41.33573627471924
10,0.0005,0.007358753087507448,0.007042622532842777,0.9978311644978312,0.9977844259289039,0.9988738738738738,0.9966777408637874,0.996124031007752,0.9960969263294843,41.513988733291626
11,0.00025,0.007721725244710236,0.0050972608338972145,0.9978728728728729,0.9974519082317792,0.9981231231231231,0.9980802627805782,0.9989464644600302,0.9984906830674393,42.65705752372742
12,0.00025,0.005408497401736901,0.00021336452606088538,0.9983316649983317,0.9983102339469803,1.0,1.0,1.0,1.0,41.766971826553345
13,0.00025,0.0045064640030840365,0.0008182991699972366,0.9984984984984985,0.9988028825511158,0.9996246246246246,0.998546511627907,0.9998449612403101,0.9991720338111283,41.2405731678009
14,0.00025,0.0035753590889955,0.002904604250599388,0.9989572906239573,0.9990474790661786,0.9992492492492493,0.9995253915519697,0.999581571529246,0.9995500660043353,41.34734320640564
15,0.000125,0.004302364762545663,0.002331820087690446,0.9986236236236237,0.9980140894788181,0.9988738738738738,0.9989777018154922,0.9993751468170072,0.9991685860543847,42.07984113693237
16,0.000125,0.0020661725561062034,0.00042785836219652655,0.999582916249583,0.9993354365306292,0.9996246246246246,0.9997602493406856,0.9998154300479882,0.9997868509094121,42.33499193191528
17,0.000125,0.0018034573578714522,0.0003172895554959174,0.999582916249583,0.9996582979756973,1.0,1.0,1.0,1.0,41.448835134506226
