experiment,crop,preproc,augment,arch,best_epoch,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
baseline,True,clahe,True,resnet,15,0.9996,0.9998,0.999,0.9994,0.9861,0.9833,0.9804,0.9812
no_crop,False,clahe,True,resnet,12,1.0,1.0,1.0,1.0,0.9851,0.9761,0.9808,0.9778
no_equalize,True,none,True,resnet,11,1.0,1.0,1.0,1.0,0.9869,0.9819,0.9755,0.9757
no_augment,True,clahe,False,resnet,10,0.9985,0.9992,0.9984,0.9988,0.9836,0.9767,0.9721,0.973
with_stn,True,clahe,True,resnet_stn,20,1.0,1.0,1.0,1.0,0.9864,0.9814,0.9798,0.9799
