epoch,lr,train_loss,val_loss,train_acc,train_f1,val_acc,val_precision,val_recall,val_f1,epoch_time
1,0.001,0.38413063236125355,0.06788827302095175,0.8857607607607607,0.8596304740222674,0.9801051051051051,0.9837751248971991,0.9764625584005429,0.9783388238291025,28.032748460769653
2,0.001,0.07225573885766991,0.020256721629452117,0.9788538538538538,0.9731282213904122,0.993993993993994,0.9948376213912351,0.9933528955059018,0.9939881090923134,28.49360752105713
3,0.001,0.04620647385795991,0.2261126477298587,0.9868201534868202,0.9822452885649338,0.9538288288288288,0.9771141074233702,0.9728934276317998,0.9714926393187397,28.08774733543396
4,0.001,0.037498357904963704,0.019933865792184435,0.9894060727394061,0.9869830083056512,0.9943693693693694,0.993412804751391,0.9912575366063736,0.9919948350530381,28.004499673843384
5,0.001,0.03753318572514788,0.011501976189941383,0.9894477811144478,0.9860756952950623,0.9966216216216216,0.9966305326014514,0.9954841281904665,0.9959361738816714,27.59636092185974
6,0.001,0.022210241796484252,0.01571265132849555,0.9941191191191191,0.9920476339845178,0.9958708708708709,0.996972640810111,0.9953506642653931,0.9960671664791998,27.870368719100952
7,0.001,0.031321198944577903,0.0098341571103485,0.9916166166166166,0.990002942189745,0.9977477477477478,0.9964306620632821,0.996229902383003,0.9962450144113277,27.476728439331055
8,0.001,0.028237650084572175,0.028877705510302866,0.9925342008675342,0.9893098578844809,0.9921171171171171,0.9919613985961571,0.99307324350929,0.992291321499086,28.43914794921875
9,0.001,0.01867709854728964,0.00907517078282742,0.9947447447447447,0.9935845337661845,0.9966216216216216,0.9939770890910619,0.9968881506090809,0.9950909476305229,27.75946569442749
10,0.0005,0.01825267611855183,0.07845591266498643,0.9956206206206206,0.9945064176139238,0.9808558558558559,0.9870762361192633,0.9780143021042921,0.9807696437082125,27.74642300605774
11,0.0005,0.006483978444873829,0.00028694624836828335,0.997997997997998,0.9977796440901084,1.0,1.0,1.0,1.0,27.856512308120728
12,0.0005,0.003105314405028878,0.0005038306867541147,0.9992492492492493,0.998988607898512,1.0,1.0,1.0,1.0,28.02877187728882
13,0.0005,0.006054981055918942,0.003284299442355831,0.9985402068735402,0.9985119435591666,0.9984984984984985,0.9970917178606803,0.9976512470508934,0.9973168618803258,28.15546989440918
14,0.00025,0.0036809772106128676,0.0003799680335137341,0.9990407073740407,0.9990245162602007,1.0,1.0,1.0,1.0,29.12101721763611
15,0.00025,0.0017394959915495855,0.00038890215905844523,0.9995412078745413,0.9995174897780349,1.0,1.0,1.0,1.0,28.068368434906006
16,0.00025,0.0009798191672448443,0.00031233585945118466,0.9997497497497497,0.9998841188346558,1.0,1.0,1.0,1.0,28.088928699493408
