epoch,lr,train_loss,val_loss,train_acc,train_f1,val_acc,val_precision,val_recall,val_f1,epoch_time
1,0.001,0.4097087019317978,0.21863337106409822,0.8784200867534201,0.8399489162030745,0.9346846846846847,0.9434038360205711,0.9230006238762397,0.9169011931420132,42.95172119140625
2,0.001,0.07908040627683048,0.24374577297350844,0.9763096429763096,0.9695443854771134,0.9335585585585585,0.9419513391268783,0.9130119346388197,0.9054457744049234,42.66179847717285
3,0.001,0.06664226121124045,0.016903430362604,0.9809392726059393,0.9772127652564639,0.9966216216216216,0.9980394836321905,0.997563774511449,0.9977779991103746,43.69610095024109
4,0.001,0.046841575391528445,0.016207821593189356,0.9870704037370704,0.9833792569157171,0.9951201201201201,0.9953937839393324,0.9938153778463857,0.9944891013905544,42.645649671554565
5,0.001,0.05435778397518593,0.011521380983547212,0.984693026359693,0.9806445733637001,0.9962462462462462,0.9952931045422616,0.993599883105697,0.994297603889991,42.77024221420288
6,0.0005,0.03336673088758329,0.019034643182055548,0.990990990990991,0.989172145359822,0.9947447447447447,0.9934188892191115,0.988249354005168,0.9903514099389036,43.79526948928833
7,0.0005,0.014168389689414689,0.005020384222826488,0.9959125792459126,0.9958863419667154,0.9984984984984985,0.9986610389864785,0.9976351974898487,0.9981008131410495,43.06000638008118
8,0.0005,0.008495589129503694,0.003945935325632477,0.9977894561227895,0.9975066748629772,0.9988738738738738,0.9986429494278333,0.9990194721299374,0.9988183830083823,42.730491399765015
9,0.0005,0.005420845621108541,0.004388575473555235,0.9984150817484151,0.9985411474099305,0.9992492492492493,0.9996366279069767,0.999515503875969,0.9995720853130813,43.38726043701172
10,0.0005,0.007677324286133454,0.007312730283219197,0.9977477477477478,0.99766136799592,0.9977477477477478,0.9987886032750433,0.9976351974898487,0.9981903259842569,42.26302695274353
11,0.0005,0.00668460217946696,0.00581969639169328,0.9982482482482482,0.9981966805084056,0.9981231231231231,0.998914514731451,0.9990208564045774,0.9989656778451825,42.304823875427246
12,0.00025,0.016310443781015007,0.00870599059354655,0.9957874541207875,0.9951971321281298,0.9977477477477478,0.9986603506533858,0.9967331118493911,0.9976615000547419,42.367156982421875
13,0.00025,0.004573358469307087,0.002838025614792414,0.9985819152485819,0.9985207444157445,0.9992492492492493,0.9995731819859728,0.9995731819859728,0.9995731819859728,42.89825654029846
14,0.00025,0.002960515994821608,0.003150126045134662,0.9991658324991658,0.9993348692043249,0.9988738738738738,0.9993530204197391,0.9986337209302326,0.9989798682670359,42.1329128742218
15,0.000125,0.002081503034171561,0.0017929491254840108,0.9994160827494161,0.999660510663788,0.9992492492492493,0.9995731819859728,0.9995731819859728,0.9995731819859728,42.92243981361389
16,0.000125,0.001493615138535074,0.0025563149846383275,0.999582916249583,0.9995966601187963,0.9992492492492493,0.9996366279069767,0.999515503875969,0.9995720853130813,43.44037127494812
17,0.000125,0.0012933908610602838,0.00191851092663032,0.999708041374708,0.9996354103906371,0.9992492492492493,0.9995731819859728,0.9995731819859728,0.9995731819859728,42.88306665420532
18,0.000125,0.0013116615583607725,0.0027455399673932995,0.9995412078745413,0.9996608858364607,0.9996246246246246,0.9997602493406856,0.9998154300479882,0.9997868509094121,42.68111538887024
19,0.000125,0.0022378441507130684,0.0020693887583804354,0.9993743743743744,0.9995580940932413,0.9992492492492493,0.9995332758674592,0.9987887596899226,0.9991488433410688,42.77946138381958
20,0.000125,0.001782627236683818,0.0008964137400257245,0.9994994994994995,0.9997231137038436,1.0,1.0,1.0,1.0,42.53935766220093
