epoch,lr,train_loss,val_loss,train_acc,train_f1,val_acc,val_precision,val_recall,val_f1,epoch_time
1,0.001,0.39510701208670296,0.04876770115493833,0.8821321321321322,0.8516123867300387,0.984984984984985,0.9879714816141114,0.9829383339017596,0.9849007569520473,44.32094669342041
2,0.001,0.07721558097634348,0.04260875482333114,0.9770603937270604,0.9714239788107026,0.9861111111111112,0.9896835871295324,0.9840892311822543,0.9863375435461259,41.58060026168823
3,0.001,0.06330747105874815,0.03796407362892273,0.9821071071071071,0.9772445209193936,0.9898648648648649,0.9886068480859398,0.9889909923780386,0.9881667418259191,41.0488395690918
4,0.001,0.053788083783528944,0.0609456442904408,0.9845261928595261,0.9818861562246103,0.9816066066066066,0.988126082852375,0.9863278782658628,0.9865728005835542,41.39345669746399
5,0.001,0.04115289899846555,0.024224964404243043,0.9884467801134468,0.9850344807519651,0.9921171171171171,0.9923935859545641,0.9934015334776096,0.9925877236742734,41.27430868148804
6,0.001,0.03965244211211756,0.023987151275797224,0.9883633633633634,0.9852445132135657,0.9924924924924925,0.9876905599979908,0.9941368138751859,0.9898170043880814,40.12982439994812
7,0.001,0.031740641941104805,0.03656770344988783,0.9910326993660327,0.9896436927376318,0.9898648648648649,0.9893190543593992,0.987783374376645,0.988236262584192,40.70638585090637
8,0.001,0.04439838160271267,0.015079994301764222,0.9882799466132799,0.9842570917140117,0.9951201201201201,0.9949532506958834,0.9968531747186752,0.9957970091355242,40.3396520614624
9,0.001,0.0227252844069122,0.0581851181517881,0.9938271604938271,0.9927916212352664,0.987987987987988,0.9867749928936521,0.9882308457405355,0.9866290247229473,40.33036160469055
10,0.001,0.02324050836623073,0.015615559477871235,0.993702035368702,0.9935542464729177,0.9966216216216216,0.99734293426673,0.9977231758336409,0.9974965583372005,41.35399389266968
11,0.001,0.01845267479077061,0.007354689325056442,0.994994994994995,0.993922262206583,0.9981231231231231,0.9986936954579662,0.9976063829787235,0.9981240489401993,40.27430963516235
12,0.001,0.02544896899960863,0.04931928483002066,0.9926593259926594,0.9906759199528054,0.9898648648648649,0.9825787453268024,0.9839812753129181,0.9794926471489576,40.242919921875
13,0.001,0.03422472320010632,0.03393113280079896,0.9908241574908242,0.9863734998907734,0.9924924924924925,0.9899101154086825,0.9880258006420798,0.9870415572988741,40.04204607009888
14,0.0005,0.025972392926509078,0.023923398816294537,0.9927427427427428,0.9919186817406632,0.9932432432432432,0.9936734293143353,0.992301894918174,0.9928376301222087,40.623034954071045
15,0.0005,0.012387756717229411,0.00438045911950111,0.9963296629963296,0.9950616012284164,0.9988738738738738,0.9989029224701096,0.9983042635658915,0.9985774201878914,40.559425592422485
16,0.0005,0.0061332145932133705,0.0037294827738145607,0.9981648314981648,0.997943746662296,0.9988738738738738,0.999479754696457,0.9993309339239572,0.9994021794782427,43.15328550338745
17,0.0005,0.0036993227920594104,0.0038191486180460255,0.9991658324991658,0.9990806422442913,0.9992492492492493,0.9996366279069767,0.999581571529246,0.9996067000183466,40.90011692047119
18,0.0005,0.00335917720460222,0.004613966491127634,0.9989572906239573,0.9992388347601282,0.9988738738738738,0.9994728545692761,0.998546511627907,0.9989951047398424,40.58074164390564
19,0.0005,0.004687359092445791,0.007038512526484844,0.9984150817484151,0.9975904755948061,0.9984984984984985,0.9987115846160788,0.9979812661498708,0.9983168746574004,41.064361810684204
20,0.00025,0.004410765106850131,0.007144222182667598,0.9985819152485819,0.9984289456029698,0.9992492492492493,0.9972640218878249,0.99968992248062,0.9983904323396284,41.02169179916382
