epoch,lr,train_loss,val_loss,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,epoch_time_sec
1,0.001,2.227644890994281,1.2498963194208461,0.3361695028361695,0.26005189012136615,0.2041151947456431,0.19405104916308644,0.6107357357357357,0.4365334718299685,0.4070262598116292,0.3770060404811241,51.83150601387024
2,0.001,1.0111475277631172,1.903724707998671,0.6746746746746747,0.5669389545345178,0.5133586895649662,0.5207135155507142,0.4827327327327327,0.5109035218462016,0.4029270783966023,0.39185081019152085,43.99697160720825
3,0.001,0.5346836034639859,0.4974380668935117,0.8289956623289957,0.7517172692334728,0.7217612276452615,0.7326700339336751,0.829954954954955,0.8443549097071764,0.7573284658581256,0.7624899809892549,46.621740102767944
4,0.001,0.3439970605217062,0.25130520586494925,0.8915999332665999,0.8520251673453668,0.8331144233302343,0.8413790516876837,0.9084084084084084,0.8943710199300737,0.8464970441017534,0.8506920476794156,60.28309679031372
5,0.001,0.2465517540394882,0.7644697996947143,0.9237153820487154,0.8947208437232853,0.8836479807416872,0.8886922521870824,0.7830330330330331,0.8536813335994453,0.7177105203103565,0.7229840943635157,58.725956201553345
6,0.001,0.1991996583160576,0.27022964782543013,0.9380213546880214,0.9164015964874594,0.9098135223941752,0.9129118821425084,0.9121621621621622,0.9149938504913019,0.8518151802843666,0.8629435094276263,48.082067012786865
7,0.001,0.170683011884963,0.2461325674354135,0.9466132799466133,0.9333498082777897,0.9268632885075733,0.9299345023469081,0.9301801801801802,0.9297681464603308,0.9008451168616128,0.9043593001544059,43.09424328804016
8,0.001,0.13763585044422227,0.5009222605206944,0.9567067067067067,0.9433540106773551,0.9409689780619986,0.9420697694851782,0.8524774774774775,0.8905025731172116,0.8252917553486785,0.8220330339547526,47.841729164123535
9,0.001,0.11819955083352945,0.1515851868791981,0.9629629629629629,0.9536555300083573,0.9504074245506425,0.9519821559228964,0.9542042042042042,0.9583583232743076,0.9362733791580896,0.9429174495942358,63.77257180213928
10,0.001,0.10678244225772811,0.16728391066506818,0.9652986319652986,0.9559258874344123,0.9537261662010065,0.9547494345317539,0.9451951951951952,0.9527707011935802,0.9128199566295029,0.9219366998902824,63.091557264328
11,0.001,0.09817567217596619,0.2384401840736737,0.9700116783450117,0.9617988233454943,0.9590757515429156,0.960329979579126,0.9309309309309309,0.9417458284202578,0.8929231721327221,0.8962627646874212,43.28698921203613
12,0.001,0.08333570405736461,0.046227970275211264,0.9725558892225559,0.9662387846722119,0.9630506193320348,0.9646038435264593,0.9857357357357357,0.9863844487005479,0.9825236574211916,0.9840307734807017,43.957645654678345
13,0.001,0.09226024181799249,0.03698044914651562,0.9706373039706373,0.9621272562816887,0.9605815362009203,0.9613127206718505,0.9891141141141141,0.9891026715282747,0.9890270553448848,0.9888007950932071,43.16583967208862
14,0.001,0.07555749557954612,0.1118535531556105,0.9762262262262262,0.9710853221900901,0.9686313655051323,0.9697944338755977,0.9703453453453453,0.966599145034682,0.9598652815051222,0.959922450690718,49.037625312805176
15,0.001,0.07329167712456212,0.01727094504543141,0.9773106439773106,0.9725036669361402,0.9710946493925339,0.9717799559943491,0.9951201201201201,0.9933024382597301,0.9933840294789905,0.9931197804253508,57.20571160316467
