epoch,lr,train_loss,val_loss,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,epoch_time_sec
1,0.001,0.435493190446853,0.12055903392376842,0.870286953620287,0.8477579419702245,0.8160024770801084,0.8298522658789033,0.9647147147147147,0.9565705564747687,0.9564006353461437,0.9542918594497265,43.569238901138306
2,0.001,0.09503866837776061,0.09775179716745845,0.9725141808475142,0.9627886779316077,0.9608421187209831,0.9617848151560708,0.9718468468468469,0.9679140985433249,0.961208569638802,0.9573666043795004,44.44609832763672
3,0.001,0.06801244728254763,0.045786840864028934,0.9805638972305639,0.9760995666082888,0.9745299587409499,0.9752901446924488,0.9861111111111112,0.9829132644166415,0.9814816352897747,0.9803284046368447,46.178738594055176
4,0.001,0.06021777700171655,0.037322201324184914,0.9835251918585252,0.9776420817105881,0.9773658624697372,0.9774955346248347,0.9894894894894894,0.9852008756221351,0.9906102693602694,0.9867869797087138,45.37034821510315
5,0.001,0.04039075743432027,0.030053352747446724,0.9888638638638638,0.9877356534516052,0.9872330674452594,0.9874738038719637,0.9913663663663663,0.9895834109897295,0.990135612306155,0.9894842083710489,47.086930990219116
6,0.001,0.028632205845722864,0.013989734501070803,0.9916166166166166,0.9898386025522369,0.9899054052333522,0.9898622124526764,0.9958708708708709,0.9969130794037949,0.9940624685392127,0.995400775338967,46.2702271938324
7,0.001,0.036157518282189625,0.008410942611890578,0.990407073740407,0.9890755418281256,0.9886240961769609,0.9888433565145404,0.996996996996997,0.9979170908766511,0.9986434947481458,0.9982647202802174,44.669424533843994
8,0.001,0.023915613695362586,0.0458446567788139,0.9932432432432432,0.9931912679830426,0.9933518478203891,0.9932697009332137,0.9872372372372372,0.9911460265136836,0.9817494155284852,0.9850992096743976,46.079060316085815
9,0.001,0.03638701380967278,0.05599139603506953,0.9901151151151151,0.9870701965023223,0.9876354568329295,0.9873375130640727,0.9861111111111112,0.981297078364121,0.9703273040482343,0.9664009905302431,45.54475808143616
10,0.0005,0.03558274832655777,0.013142335848107983,0.9894894894894894,0.986139884805891,0.9860447116469078,0.9860808937139287,0.9977477477477478,0.9974648458626284,0.9970482650424511,0.9971936345567524,46.76728320121765
11,0.0005,0.010726686457139718,0.0033045551169377176,0.9970387053720388,0.9972008521301349,0.9973101692850117,0.99725320755879,0.9988738738738738,0.9994170172011082,0.99942398794143,0.9994180186541386,46.184277296066284
12,0.0005,0.005008066251509148,0.006466541805846785,0.9985402068735402,0.9988694951162235,0.9990144653108551,0.9989409684153654,0.9981231231231231,0.9978233174365021,0.9970822566752799,0.9974054368742912,44.3839168548584
13,0.0005,0.0025292206062480973,0.005888789368924648,0.9991658324991658,0.9991653129257163,0.9989903658411877,0.9990771036584617,0.9988738738738738,0.9993287668200688,0.9986164944013781,0.9989597156596642,44.745978355407715
14,0.00025,0.0038751912032856744,0.005484436581457874,0.9989572906239573,0.9990593404227708,0.9991031624849454,0.9990808433722858,0.9988738738738738,0.999423940291345,0.9990317767934046,0.9992223448977945,44.99153137207031
15,0.00025,0.0024485954892311044,0.004388796521330411,0.999290957624291,0.9992115507006818,0.9991918741369646,0.9992009872215484,0.9988738738738738,0.9994040697674419,0.9993432385874246,0.9993687690864046,45.325496196746826
16,0.00025,0.0017425839606528648,0.004288072523173447,0.999582916249583,0.9995024297633358,0.9995250182394885,0.9995134000760878,0.9992492492492493,0.9990666958078103,0.9984657622739018,0.9987406269195679,46.04476523399353
