epoch,lr,train_loss,val_loss,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,epoch_time_sec
1,0.001,0.8343303819716196,0.1294839154626872,0.7530447113780447,0.7552139446334136,0.6736425466193786,0.7034675744729195,0.9557057057057057,0.9644560435708394,0.943410526453162,0.9503317811427735,52.69932460784912
2,0.001,0.15366248997760526,0.10158445319166412,0.9508675342008676,0.9396755818679208,0.9339128516777224,0.9366589982397717,0.9688438438438438,0.978577432786031,0.9632145809933088,0.966648321539255,42.4246244430542
3,0.001,0.08937504884100454,0.07437583101023962,0.971388054721388,0.964382807171156,0.9629560912803246,0.9636339700968365,0.9801051051051051,0.9844567600752115,0.9832344222631498,0.9830180346955361,42.160492181777954
4,0.001,0.07324754897427979,0.024441161776428577,0.9766016016016016,0.9708673073162026,0.9695022331540042,0.9701596167122798,0.9906156156156156,0.9924533806078181,0.9909555945122174,0.9915126701356718,42.187694787979126
5,0.001,0.05395242533794752,0.0399330186919105,0.9833583583583584,0.9813121388767271,0.9793392685931189,0.9803116226960441,0.9894894894894894,0.9908424969204646,0.9919661329035963,0.991124356876433,44.311954498291016
6,0.001,0.05625897086038067,0.029428039411573695,0.9817317317317318,0.9769080991732416,0.975681425356503,0.9762801148089221,0.9906156156156156,0.9911251911677934,0.9856144117716359,0.9879713624641723,43.178410053253174
7,0.0005,0.044762137179406816,0.0356232828772473,0.9865281948615282,0.9838546314340302,0.983086652752219,0.9834614234601109,0.987987987987988,0.9887277082761661,0.981110321244537,0.9839212916386523,42.10952115058899
8,0.0005,0.014735871926571553,0.013166919714727861,0.9953703703703703,0.9949891353781501,0.9940070053516361,0.9944863016147385,0.9966216216216216,0.9967493703584215,0.9960422888911261,0.9963431599945938,41.206488370895386
9,0.0005,0.010904893234788663,0.005318450315159923,0.9966633299966633,0.9966033240839189,0.9966971759125438,0.9966459022741204,0.9977477477477478,0.9975513325008039,0.9953865202411715,0.9963768221036383,44.266199350357056
10,0.0005,0.008494545341260212,0.005396445280754821,0.9972472472472472,0.9974417182020867,0.9971216094867723,0.9972800072572453,0.9977477477477478,0.997651098377555,0.996897686723268,0.9972263762391068,42.57737159729004
11,0.0005,0.012332364189798061,0.011322985537484422,0.9957874541207875,0.99555501875815,0.9958896707653955,0.9957191916440815,0.9966216216216216,0.9941336614603251,0.9932701181247694,0.9935073714401735,44.164732456207275
12,0.0005,0.008512997858783788,0.01068700762134704,0.9970387053720388,0.9968379797384587,0.996570067020157,0.9967022340148683,0.9973723723723724,0.9971184399136869,0.9962378491448259,0.9966154395429946,43.38066053390503
13,0.00025,0.013363805058084256,0.006184268196032301,0.9954954954954955,0.9951732216430524,0.9949559427132155,0.995062537677947,0.9973723723723724,0.9958556836178927,0.9965623846437801,0.9960033797065747,42.353271484375
14,0.00025,0.005521815677095282,0.006000069903379184,0.9983316649983317,0.9982871461096956,0.9982376222920633,0.9982608274296095,0.9977477477477478,0.9977257848205545,0.9966118410013759,0.9971143410890551,42.50927257537842
15,0.00025,0.004311149839055779,0.012309700352926011,0.9987487487487487,0.9990943032191169,0.998803296386199,0.9989472608544006,0.9966216216216216,0.9962228715143677,0.9932516611295682,0.994376362092687,42.80773067474365
